id,ontological_category,semanticfield,description,name,Kinship2,Number,Clothing,Speech,Time,Emotion,Body,physGeo,Plant,Animal,notes,included?,words_Arabic,words_Indonesian,words_Basque,words_Tamil,words_Albanian,words_Hindi,words_Russian,words_Spanish,words_Swahili,words_Turkish,words_Hungarian,words_Thai,words_English
3465,Person/Thing,The physical world,The margin or shore of a sea or ocean.,SHORE OF SEA,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3540,Person/Thing,Clothing and grooming,"A traditional East Asian garment made out of straw, worn against the rain. In Japanese it's called mino.",STRAW RAINCOAT,,,TRUE,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3541,Person/Thing,Agriculture and vegetation,The crop gathered in a season and the time during which crops are typically harvested.,HARVEST OR HARVEST SEASON,,,,,TRUE,,,,,,blanket yes on all things that are periods of time,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3603,Person/Thing,The physical world,Referring either to agriculturally viable land (e.g. for farming) or earth in its natural form.,EARTH OR LAND,,,,,,,,TRUE,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3606,Person/Thing,Animals,A common name denoting a fish of the Acipenseridae family.,STURGEON,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3607,Person/Thing,Clothing and grooming,A shoe with a soft sole made from animal skin or leather.,MOCCASIN,,,TRUE,,,,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3610,Person/Thing,Animals,"A member of the Anatidae family, common in large parts of the world and native to the northern hemisphere.",MALLARD,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3611,Person/Thing,Animals,A member of the Urisdae family (Ursus americanus) native to North America.,AMERICAN BLACK BEAR,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3613,Person/Thing,The body,"The lower part of the spine, also known as the lumbar region, which is situated between the rib cage and the pelvis.",LOWER BACK,,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3622,Person/Thing,The body,"An injury caused by exposure to heat, fire or chemical agents.",BURN (INJURY),,,,,,,TRUE,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3623,Person/Thing,Animals,"An organism, also known as the parasitic worm, that infects and breeds in the gastrointestinal tract of humans and animals.",INTESTINAL WORM,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3646,Person/Thing,Speech and language,"A widely known and used phrase or sentence, giving advice or reflecting something commonly experienced.",PROVERB,,,,TRUE,,,,,,,yes by analogy to song,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3673,Person/Thing,Emotions and values,The feeling of great sadness because someone has died.,MOURNING,,,,,,TRUE,,,,,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3674,Person/Thing,Animals,"Any of even-toed deer-like mammals of the family Bovidae, indigenous to various parts of Africa and Eurasia.",ANTELOPE,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3675,Person/Thing,Animals,"Any of several species of genus Equus with distinctive black-and-white striped coats, native to Africa.",ZEBRA,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3676,Person/Thing,Animals,"Any of small, mole-like mammals with a long pointed snout from the family Soricidae of the order Eulipotyphla.",SHREW,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3677,Person/Thing,Animals,"A common name for several species of tropical ferret-like carnivorous mammals, distinguished by a long body and tail.",MONGOOSE,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
3681,Person/Thing,Animals,"Any of medium-sized non-migratory birds of the Phasianidae family, smaller than the pheasant but bigger than the quail.",PARTRIDGE,,,,,,,,,,TRUE,,TRUE,[],[],[],[],[],[],[],[],[],[],[],[],
