"ontological_category","semanticfield","id","description","name","Kinship","Number","Clothing","Speech","Time","Emotion","Body","physGeo","Plant","Animal","notes","included"
"Person/Thing","Clothing and grooming",916,"A material made from the fibers of the flax plant.","LINEN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Clothing and grooming",917,"An element of decoration.","ORNAMENT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Emotions and values",918,"A likelihood of behaving in a particular way or going in a particular direction.","INCLINATION",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Food and drink",919,"Any fruit of a plant of the botanical genus Capsicum, noted for their spicy and burning flavour due to presence of capsaicin.","CHILI PEPPER",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Food and drink",920,"A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.","GRAPE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","The physical world",921,"Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.","VALLEY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"",TRUE
"Person/Thing","Agriculture and vegetation",922,"A fruit produced by the pear tree.","PEAR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Action/Process","Emotions and values",923,"To have an intense feeling of affection and care towards another person.","LOVE",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE
"Person/Thing","Food and drink",924,"Any of various herbaceous plants having parts that are used as food.","VEGETABLES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","Agriculture and vegetation",925,"A starchy pulp made with the roots of the cassava plant.","CASSAVA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",926,"Seeds of the rice plant (Oryza sativa) used as food.","RICE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",927,"Shrub (Manihot esculenta) whose roots are rich in starch.","MANIOC",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Action/Process","Emotions and values",928,"To squeeze someone in one's arms.","EMBRACE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",929,"Small animals and insects that can be harmful and which are difficult to control when they appear in large numbers. (Source: CAMB)","VERMIN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Social and political relations",930,"A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.","VILLAGE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Agriculture and vegetation",931,"A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.","MILLET",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","Agriculture and vegetation",932,"A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.","BARLEY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"",TRUE
"Person/Thing","The house",933,"The outer structure which encloses a building.","WALL (OF HOUSE)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",934,"A wild heavy bison of the species Bison bison, having a broad massive horned head.","BUFFALO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
"Person/Thing","Warfare and hunting",935,"A conflict or a state of hostility between two or more parties, nations or states, in which armed forces or military operations are used.","WAR",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE
"Person/Thing","Animals",936,"An uncastrated male horse.","STALLION",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"",TRUE
